movie_id,budget,original_language,popularity,release_date,runtime,runtime_cat,revenue,sw_lang_en,sw_web_presence,sw_has_poster,sw_tagline,keyword_cnt,release_year,release_month,high_release_month,release_day,seasonality,sw_collection,producers_cnt,countries_cnt,lang_US,lang_FR,lang_RU,lang_ES,lang_JA,keywords_cnt,actor0_movies_cnt,actor0_movies_5y_cnt,actor1_movies_cnt,actor1_movies_5y_cnt,actor2_movies_cnt,actor2_movies_5y_cnt,sw_female_actor0,sw_female_actor1,sw_female_actor2,sw_male_actor0,sw_male_actor1,sw_male_actor2,actor0_prev_revenue,actor1_prev_revenue,actor2_prev_revenue,director_movies_cnt,director_movies_5y_cnt,genre_adventure,genre_fantasy,genre_animation,genre_drama,genre_horror,genre_action,genre_comedy,genre_history,genre_western,genre_thriller,genre_crime,genre_documentary,genre_science_fiction,genre_mystery,genre_music,genre_romance,genre_family,genre_war,genre_foreign,depart_Art,depart_Camera,depart_Crew,depart_Custom_Mkup,depart_Directing,depart_Editing,depart_Lighting,depart_Production,depart_Sound,depart_Visual_Effects,depart_Writing,depart_Art_female,depart_Camera_female,depart_Crew_female,depart_Custom_Mkup_female,depart_Directing_female,depart_Editing_female,depart_Lighting_female,depart_Production_female,depart_Sound_female,depart_Visual_Effects_female,depart_Writing_female
11,1000000,en,14.774066,1976-11-21,119,Large,117235147,1,0,1,1,16,1976,11,0,21,31944703,0,1,1,1,0,0,0,0,16,5,4,2,2,0,0,0,1,0,1,0,1,NULL,245066411,NULL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,1,4,4,1,6,3,0,1,0,0,0,0,1,1,0,0,0,0,0
12,0,en,10.54375,1987-07-10,98,Medium,22642033,1,0,1,1,6,1987,7,0,10,40981593,0,4,1,1,0,0,0,0,6,6,0,2,2,1,1,0,0,0,1,1,1,14717854,NULL,9697739,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,15000000,en,20.726578,1999-09-15,122,Large,356296601,1,1,1,1,21,1999,9,1,15,-37667937,0,2,1,1,0,0,0,0,21,14,6,8,3,6,1,0,1,1,1,0,0,189859560,116672912,178051587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,23,11,5,8,3,11,19,8,3,3,0,4,3,1,0,0,4,0,0,0
14,53000000,en,13.314233,2005-03-04,118,Medium,95226116,1,0,1,1,8,2005,3,0,4,-7149862,0,4,1,1,0,1,0,0,8,24,8,13,4,16,11,0,1,0,1,0,1,296000000,238207122,170268750,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,1,2,0,7,1,0,2,2,0,0,0,0,0,0,1,0,0,0
15,102000000,en,20.666063,2002-06-20,145,Large,358372926,1,0,1,1,9,2002,6,0,20,74205073,0,7,1,1,0,0,0,0,9,20,2,2,2,1,1,0,0,1,1,1,0,356830601,32287044,NULL,19,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,19,15,36,14,4,6,7,21,17,13,4,2,0,1,1,1,0,0,4,0,0,0
16,500000,sr,1.018477,2010-10-06,97,Medium,198,0,1,1,1,2,2010,10,1,6,-28659422,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,NULL,NULL,NULL,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,5,3,1,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0
17,26000000,en,6.336927,2005-08-04,85,Short,57891803,1,0,1,1,4,2005,8,1,4,-33273015,0,3,1,1,0,1,0,0,4,4,4,5,5,20,10,1,0,0,0,1,1,285176741,374218673,407711549,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,14,2,3,0,8,1,0,1,1,0,0,4,1,0,0,4,0,0,0
18,0,en,4.183558,2013-12-25,111,Medium,1234254,1,0,1,1,2,2013,12,1,25,32322910,0,4,1,1,0,0,0,0,2,22,7,7,5,5,1,0,1,1,1,0,0,301000000,13204291,31466789,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,2,3,1,1,0,5,6,3,2,1,0,0,0,0,0,0,2,0,0,0
19,8000000,en,6.496259,2011-02-02,96,Medium,1749457,1,0,1,1,7,2011,2,0,2,-15309317,0,4,3,1,0,0,0,0,7,3,3,3,3,11,5,1,0,1,0,1,0,13204291,4100000,155545279,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,32000000,en,11.359659,2005-08-02,87,Short,85167639,1,0,1,1,5,2005,8,1,2,-33273015,0,7,1,1,1,0,0,0,5,9,8,3,2,0,0,0,1,1,1,0,0,217764291,NULL,NULL,2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,6,1,0,4,0,0,0,0,0,0,0,0,0,0,0
21,80000000,en,12.000579,1998-04-03,130,Large,136159423,1,0,1,1,3,1998,4,0,3,-28405871,0,4,1,1,0,0,0,0,3,11,7,9,3,0,0,0,0,0,1,1,1,315156409,27200316,NULL,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13,7,25,9,5,4,4,23,16,11,3,1,0,0,1,1,0,0,2,0,0,0
22,4000000,en,7.99229,1982-08-13,95,Medium,36690067,1,0,1,1,9,1982,8,1,13,-33273015,0,2,1,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,1,0,NULL,NULL,NULL,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,1
23,0,en,7.820787,2012-07-28,116,Medium,100345,1,1,1,1,13,2012,7,0,28,40981593,0,3,1,1,0,0,0,0,13,1,1,1,1,0,0,0,0,0,1,1,1,14347000,14347000,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,6,0,0,0,0,0,0,0,1,0,0,0
24,0,en,1.323333,2011-09-02,92,Short,17011,1,1,1,1,0,2011,9,1,2,-37667937,0,3,1,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,1,40846082,NULL,NULL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,3,2,0,2,0,0,0,0,0,0,0,0,1,0,0
25,0,en,7.434577,2006-09-09,87,Short,4947717,1,1,1,1,3,2006,9,1,9,-37667937,0,2,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,NULL,NULL,NULL,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0
26,0,en,1.252367,1992-10-23,95,Medium,8403433,1,0,1,1,0,1992,10,1,23,-28659422,0,4,2,1,0,0,0,0,0,1,1,1,1,7,2,0,1,0,1,0,0,48878502,3790493,18564613,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,0,1,1,0,4,1,0,2,0,0,0,0,0,1,0,1,0,0,0
27,10000000,en,4.305735,1997-09-08,110,Medium,13835130,1,0,1,1,4,1997,9,1,8,-37667937,0,4,1,1,0,0,0,0,4,10,1,2,1,3,1,0,0,0,1,1,1,126297830,NULL,2154540,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,1,0,1,2,1,0,7,1,0,1,1,0,0,1,1,1,0,4,0,0,0
28,11000000,en,10.841891,2013-09-07,93,Short,7847000,1,0,1,1,3,2013,9,1,7,-37667937,0,3,2,1,0,0,0,0,3,10,3,8,6,11,6,0,1,0,1,0,1,933959197,91354215,403170142,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,6,1,0,3,1,0,0,0,0,0,0,1,0,0,0
29,6000000,en,6.759181,1986-08-08,84,Short,5849647,1,0,1,1,6,1986,8,1,8,-33273015,0,4,1,1,0,0,0,1,6,2,2,1,0,1,0,0,0,0,1,1,1,37803872,90614445,NULL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0
30,45000000,en,7.81862,2002-04-07,89,Short,94935764,1,0,1,1,4,2002,4,0,7,-28405871,0,1,1,1,0,0,0,0,4,16,9,28,11,2,1,0,0,1,1,1,0,84431625,920100000,52322400,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
31,13000000,fr,16.086919,2011-11-02,112,Medium,426480871,0,0,1,1,7,2011,11,0,2,31944703,0,8,1,1,1,0,0,0,7,4,2,1,1,1,1,0,0,1,0,1,0,23550000,NULL,151119219,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,3,3,2,1,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0
32,0,fr,5.69586,2005-05-02,117,Medium,36000000,0,1,1,0,15,2005,5,0,2,21757736,0,15,5,0,1,0,0,0,15,1,0,6,2,0,0,0,1,1,1,0,0,NULL,152500343,NULL,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,2,0,9,1,0,1,0,0,0,0,0,1,0,1,0,0,0
33,90000000,en,13.412445,2015-10-21,106,Medium,146936910,1,1,1,1,4,2015,10,1,21,-28659422,0,7,1,1,0,0,0,0,4,17,5,1,1,27,6,0,1,0,1,0,1,1506249360,9318,1021103568,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,13,4,10,0,7,8,21,4,1,0,0,1,1,0,0,3,0,0,0
34,0,en,8.254856,2014-10-02,125,Large,7171,1,0,1,1,4,2014,10,1,2,-28659422,0,3,5,1,1,0,0,1,4,0,0,2,2,0,0,0,0,0,1,0,0,NULL,81010,NULL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,9,2,0,18,0,0,0,0,3,0,0,0,0,0,2
35,140000000,en,9.718111,2007-08-08,91,Short,258022233,1,0,1,1,1,2007,8,1,8,-33273015,0,1,1,1,1,0,0,1,1,5,0,17,2,4,3,0,0,0,1,1,0,347325802,347325802,8690429,5,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,1,1,3,0,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0
36,30000000,en,8.234382,2012-04-16,94,Medium,40346186,1,1,1,1,1,2012,4,0,16,-28405871,0,5,1,1,0,1,0,0,1,21,10,9,1,21,3,0,0,0,1,1,1,274470394,44196684,41098065,3,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,2,2,3,0,9,13,0,1,0,0,0,2,0,0,0,0,1,0,0
37,0,en,2.100499,2000-01-28,105,Medium,151559,1,0,1,1,14,2000,1,0,28,-50746591,0,3,3,1,0,0,0,0,14,1,1,0,0,0,0,1,1,0,0,0,1,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,50000000,en,13.676444,1995-03-10,127,Large,189859560,1,0,1,1,8,1995,3,0,10,-7149862,0,4,1,1,1,0,0,0,8,13,2,4,3,9,4,0,1,0,1,0,1,106260000,176997168,390493908,5,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,0,4,1,0,2,0,0,0,0,0,1,0,1,0,0,0
39,0,en,0.32926,2013-09-13,90,Short,92100,1,1,1,1,0,2013,9,1,13,-37667937,0,NULL,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,3800000,en,3.055936,1965-04-07,123,Large,14873,1,0,1,0,5,1965,4,0,7,-28405871,0,2,1,1,1,0,1,0,5,5,2,2,2,0,0,0,0,0,1,1,1,146900000,28900000,NULL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,3,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
41,0,en,2.941626,2006-04-26,118,Medium,163000,1,1,1,1,2,2006,4,0,26,-28405871,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,NULL,0,0,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3000000,en,9.718713,1967-06-22,126,Large,16217773,1,0,1,1,12,1967,6,0,22,74205073,0,2,1,1,0,0,0,0,12,9,4,3,2,0,0,0,0,0,1,1,1,12000000,60000000,NULL,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,4,4,2,1,2,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0
43,25000000,en,2.971999,2000-03-03,108,Medium,24362772,1,0,1,1,10,2000,3,0,3,-7149862,0,2,1,1,1,0,0,0,10,10,4,4,3,2,0,1,0,0,0,1,1,141047179,18535191,159055768,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,4,0,0,1,1,0,0,1,0,0,0,2,0,0,0
44,6000000,en,9.383088,2014-09-05,92,Short,1020921,1,0,1,1,5,2014,9,1,5,-37667937,0,3,1,1,0,0,0,0,5,50,12,22,3,9,0,0,1,1,1,0,0,1004558444,266728738,60000000,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,5,1,0,2,0,0,0,0,0,0,0,1,0,0,0
45,15000000,en,5.615303,2005-02-04,88,Short,47175038,1,1,1,1,6,2005,2,0,4,-15309317,0,3,1,1,0,0,0,0,6,4,2,10,3,3,2,1,0,1,0,1,0,171963386,105834556,10571408,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,4,2,0,1,1,0,0,0,1,1,0,1,0,0,1
46,3906840,it,2.382068,2009-10-09,95,Medium,4300000,0,0,1,1,11,2009,10,1,9,-28659422,0,2,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,1,0,1,0,NULL,NULL,NULL,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
47,80000000,en,16.646029,2006-03-23,91,Short,660940780,1,1,1,1,11,2006,3,0,23,-7149862,0,2,1,1,0,0,0,0,11,3,3,20,6,9,1,0,0,0,1,1,1,383257136,383257136,383257136,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
48,44000000,en,20.328822,2015-12-25,167,Large,155760117,1,1,1,1,8,2015,12,1,25,32322910,0,3,1,1,0,0,1,0,8,65,14,24,2,13,0,0,0,1,1,1,0,1519557910,1506249360,152368585,9,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,10,4,7,13,2,5,0,11,14,10,1,1,0,1,2,0,0,0,4,0,0,0
49,0,en,8.984386,2017-03-24,94,Medium,653951,1,0,1,0,8,2017,3,0,24,-7149862,0,1,1,1,0,0,0,0,8,35,11,0,0,0,0,0,0,0,1,0,1,653428261,NULL,NULL,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,6,2,1,0,4,7,0,2,0,0,1,0,0,0,0,1,0,0,0
50,38000000,en,8.105708,1994-11-17,118,Medium,120000000,1,0,1,1,5,1994,11,0,17,31944703,0,1,1,1,0,0,0,0,5,3,1,0,0,1,0,0,0,0,1,1,1,35739755,NULL,16554699,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,1,1,1,0,5,1,0,2,0,0,0,0,0,0,0,1,0,0,0
51,560000,nl,1.572904,2008-01-30,102,Medium,1500000,0,1,1,0,10,2008,1,0,30,-50746591,0,NULL,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,NULL,NULL,NULL,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,12000000,en,4.473327,1965-07-01,160,Large,25333333,1,0,1,1,5,1965,7,0,1,40981593,0,1,1,1,0,0,0,0,5,2,0,4,1,3,1,0,0,1,1,1,0,25000000,60000000,3200000,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
53,0,en,1.012665,1980-06-24,97,Medium,11000000,1,0,1,1,5,1980,6,0,24,74205073,0,1,1,1,0,0,0,0,5,6,2,1,0,0,0,0,0,0,1,0,0,76657000,79666653,NULL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
54,0,en,5.410839,1988-01-15,98,Medium,17514553,1,1,1,1,1,1988,1,0,15,-50746591,0,1,1,1,0,0,0,0,1,5,5,0,0,4,2,0,0,0,0,1,1,NULL,NULL,102308889,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
55,20000000,en,8.759801,2016-02-19,107,Medium,46069568,1,0,1,1,12,2016,2,0,19,-15309317,0,4,1,1,0,0,0,0,12,0,0,11,3,23,3,NULL,0,0,NULL,1,1,NULL,933959197,266000000,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,2,0,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0
56,0,en,9.122718,1993-07-02,95,Medium,36448200,1,0,1,1,7,1993,7,0,2,40981593,0,1,1,1,0,0,0,0,7,2,1,1,1,10,5,0,1,0,1,0,1,17514553,4104962,46434570,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
57,0,fr,2.94798,2009-08-05,97,Medium,1056938,0,1,1,0,3,2009,8,1,5,-33273015,0,1,2,1,1,0,0,0,3,1,0,13,2,0,0,1,0,1,0,1,0,NULL,55447968,NULL,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1
58,125000000,en,17.038824,1997-06-20,125,Large,238207122,1,0,1,1,9,1997,6,0,20,74205073,0,2,2,1,0,0,0,0,9,3,3,7,6,18,6,0,0,0,1,1,1,25836616,134095253,261317921,8,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,8,26,9,2,4,6,13,12,6,3,1,0,0,3,0,0,0,2,1,0,0
59,0,en,1.882446,2008-06-24,95,Medium,119563,1,1,1,0,9,2008,6,0,24,74205073,0,1,1,1,0,0,0,0,9,0,0,0,0,0,0,0,NULL,0,1,NULL,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,14000000,en,3.909079,2002-03-08,95,Medium,25482931,1,0,1,1,20,2002,3,0,8,-7149862,0,1,1,1,1,0,0,0,20,7,4,3,3,4,3,0,0,0,1,1,1,108000000,9000000,210000000,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,150000000,en,23.065078,2006-11-14,144,Large,599045960,1,1,1,1,10,2006,11,0,14,31944703,0,3,5,1,1,0,0,0,10,8,6,2,2,2,2,0,1,0,1,0,1,82150642,NULL,NULL,5,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,13,17,8,10,6,4,23,17,7,4,0,0,0,1,0,0,0,2,0,0,0
62,4000000,en,1.801071,1956-05-30,105,Medium,14400000,1,0,1,1,2,1956,5,0,30,21757736,0,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,1,0,NULL,NULL,NULL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0
63,0,en,6.381612,1998-01-16,124,Large,25232289,1,0,1,1,16,1998,1,0,16,-50746591,0,2,1,1,0,0,0,0,16,12,7,11,3,15,5,0,0,0,1,1,1,157387195,110879513,189859560,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,6,8,8,1,3,0,3,10,1,1,0,0,0,1,0,0,0,1,0,0,0
64,5000000,en,7.743144,1989-07-28,100,Medium,14000000,1,0,1,1,10,1989,7,0,28,40981593,0,3,1,1,0,0,0,0,10,2,1,0,0,0,0,0,1,0,1,0,0,12232628,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0
65,12000000,en,11.160699,2013-09-21,115,Medium,17654912,1,0,1,1,11,2013,9,1,21,-37667937,0,2,1,1,0,0,1,0,11,17,1,8,6,4,1,1,0,0,0,1,1,91188905,72178895,6928068,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,20,5,3,4,2,9,12,1,1,0,1,0,1,1,0,0,0,2,0,0
